"variant","mean_delta","median_delta","frac_better","frac_worse","wilcox_p","n"
"backjump",0.275577083333334,0,0.141041666666667,0.114166666666667,1.90980492791315e-05,4800
"bestjump_w1",-0.98266875,0,0.0285416666666667,0.034375,0.108805480539328,4800
"bestjump_w2",-0.337029166666667,0,0.05375,0.0545833333333333,0.653256643520216,4800
