variant,budget,spec,score,passed,total
base,200000,drums_signature,696.85,12,12
base,200000,drums_pendulum,543.37,12,12
base,200000,drums_crescendo,368.46,11,12
base,200000,dense_sprint,674.94,12,12
base,200000,syncopated_switchback,644.75,12,12
base,200000,opening_burst,656.25,12,12
base,200000,grain_staircase,750.39,12,12
base,200000,rhythm_ladder,625.17,12,12
base,200000,cold_start,612.46,12,12
base,200000,mini_burst,669.13,12,12
base,200000,tiny_dance,567.81,12,12
base,200000,solo_run,711.9,12,12
base,200000,verse_chorus,745.32,12,12
base,200000,drums_swell,707.82,12,12
base,200000,drums_crosscut,746.11,12,12
base,200000,drums_tide,734.32,12,12
base,200000,drums_dropout,714.01,12,12
base,200000,drums_breath,723.96,12,12
base,200000,drums_pulse,736.75,12,12
base,200000,drums_zigzag,726.36,12,12
base,225000,drums_signature,697.16,12,12
base,225000,drums_pendulum,550.63,12,12
base,225000,drums_crescendo,630.1,12,12
base,225000,dense_sprint,678.37,12,12
base,225000,syncopated_switchback,649.4,12,12
base,225000,opening_burst,657.08,12,12
base,225000,grain_staircase,755.97,12,12
base,225000,rhythm_ladder,627.03,12,12
base,225000,cold_start,615.96,12,12
base,225000,mini_burst,670.03,12,12
base,225000,tiny_dance,568.49,12,12
base,225000,solo_run,719.86,12,12
base,225000,verse_chorus,746.56,12,12
base,225000,drums_swell,707.98,12,12
base,225000,drums_crosscut,745.98,12,12
base,225000,drums_tide,735.2,12,12
base,225000,drums_dropout,713.58,12,12
base,225000,drums_breath,725.48,12,12
base,225000,drums_pulse,737.5,12,12
base,225000,drums_zigzag,728.32,12,12
base,250000,drums_signature,702.19,12,12
base,250000,drums_pendulum,552.98,12,12
base,250000,drums_crescendo,630.87,12,12
base,250000,dense_sprint,678.18,12,12
base,250000,syncopated_switchback,648.96,12,12
base,250000,opening_burst,659.59,12,12
base,250000,grain_staircase,757.83,12,12
base,250000,rhythm_ladder,631.24,12,12
base,250000,cold_start,614.84,12,12
base,250000,mini_burst,670.97,12,12
base,250000,tiny_dance,568.49,12,12
base,250000,solo_run,719.98,12,12
base,250000,verse_chorus,747.84,12,12
base,250000,drums_swell,709.54,12,12
base,250000,drums_crosscut,746.24,12,12
base,250000,drums_tide,736.79,12,12
base,250000,drums_dropout,714.45,12,12
base,250000,drums_breath,726,12,12
base,250000,drums_pulse,738.93,12,12
base,250000,drums_zigzag,727.76,12,12
base,275000,drums_signature,704.33,12,12
base,275000,drums_pendulum,558.15,12,12
base,275000,drums_crescendo,629.01,12,12
base,275000,dense_sprint,683.46,12,12
base,275000,syncopated_switchback,652.53,12,12
base,275000,opening_burst,662.07,12,12
base,275000,grain_staircase,759.44,12,12
base,275000,rhythm_ladder,631.56,12,12
base,275000,cold_start,617.48,12,12
base,275000,mini_burst,671.11,12,12
base,275000,tiny_dance,568.95,12,12
base,275000,solo_run,719.78,12,12
base,275000,verse_chorus,747.2,12,12
base,275000,drums_swell,712.11,12,12
base,275000,drums_crosscut,747.25,12,12
base,275000,drums_tide,736.29,12,12
base,275000,drums_dropout,714.78,12,12
base,275000,drums_breath,727.85,12,12
base,275000,drums_pulse,738.12,12,12
base,275000,drums_zigzag,727.57,12,12
base,300000,drums_signature,704.39,12,12
base,300000,drums_pendulum,557.38,12,12
base,300000,drums_crescendo,631.25,12,12
base,300000,dense_sprint,683.2,12,12
base,300000,syncopated_switchback,651.68,12,12
base,300000,opening_burst,664.32,12,12
base,300000,grain_staircase,761.09,12,12
base,300000,rhythm_ladder,630.62,12,12
base,300000,cold_start,617.25,12,12
base,300000,mini_burst,671.99,12,12
